,Palabras,Who_palabras,Who,Why_palabras,Why,Where_palabras,Where,When_palabras,When,What_palabras,What,How_palabras,How,Whom_palabras,Whom
0,#,whom,0.38000723719596863,further,0.2970425486564636,in,0.36667487025260925,subsequently,0.3612150549888611,further,0.30386409163475037,whom,0.38000723719596863,who,0.32228225469589233
1,##,whom,0.43234139680862427,where,0.48865920305252075,outside,0.4865584075450897,after,0.5205562114715576,where,0.5507109761238098,whom,0.43234139680862427,who,0.47539448738098145
2,###,whom,0.4690169095993042,forthe,0.4152008295059204,in,0.5766381621360779,after,0.5255082845687866,forthe,0.42270204424858093,whom,0.4690169095993042,who,0.49909016489982605
3,####,whom,0.5276776552200317,if,0.48729968070983887,which,0.5328251719474792,if,0.49239563941955566,how,0.5241934061050415,whom,0.5276776552200317,who,0.5594964027404785
4,#####,has,0.4374637305736542,was,0.4811288118362427,in,0.5058344006538391,was,0.5493499040603638,exactly,0.4568879306316376,has,0.4374637305736542,currently,0.40087947249412537
5,####-##,onthe,0.46081674098968506,onthe,0.48783326148986816,onthe,0.5233519673347473,before,0.4960556924343109,onthe,0.5398404002189636,onthe,0.46081674098968506,onthe,0.44678252935409546
6,####-####,nine,0.5073099732398987,5,0.5435368418693542,8,0.5112365484237671,8,0.5382403135299683,5,0.6068524122238159,nine,0.5073099732398987,of##,0.4673475921154022
7,####s,whom,0.48880189657211304,Tthe,0.526292622089386,which,0.5641541481018066,When,0.5567542314529419,which,0.555057942867279,whom,0.48880189657211304,Not_surprisingly,0.503943145275116
8,"###,###",whom,0.5206787586212158,wth,0.41505879163742065,in,0.5204196572303772,after,0.44104909896850586,how,0.4090871810913086,whom,0.5206787586212158,who,0.45963943004608154
9,###-####,whom,0.4862739145755768,explained,0.5315718650817871,says,0.4279428720474243,says,0.4348806142807007,says,0.5394363403320312,whom,0.4862739145755768,who,0.525888204574585
10,###-###-####,had,0.5361483693122864,had,0.5010020732879639,in,0.5248678922653198,had,0.5651689767837524,initially,0.4987661838531494,had,0.5361483693122864,had,0.5097708702087402
11,###.#,whom,0.471636027097702,that,0.4631265699863434,in,0.6193110942840576,in,0.5207077264785767,that,0.5236296057701111,whom,0.471636027097702,who,0.501495361328125
12,###.##,whom,0.42119917273521423,where,0.4196787476539612,in,0.5394250750541687,before,0.49512720108032227,where,0.4760119915008545,whom,0.42119917273521423,who,0.4235445261001587
13,"##,###",whom,0.5093616247177124,if,0.5466256141662598,elsewhere,0.5139289498329163,if,0.5760704278945923,exactly,0.5890622138977051,whom,0.5093616247177124,who,0.5938844084739685
14,##-#,whom,0.5478132367134094,well,0.4665306806564331,well,0.4529758095741272,subsequently,0.44390934705734253,well,0.522332489490509,whom,0.5478132367134094,who,0.5078836679458618
15,##-##,whom,0.497750848531723,that,0.5821371078491211,which,0.5217185020446777,then,0.5585740804672241,that,0.639917254447937,whom,0.497750848531723,who,0.5430397391319275
16,##.#,being,0.48797452449798584,being,0.46919798851013184,being,0.4621647596359253,subsequently,0.5162234306335449,that,0.4842003285884857,being,0.48797452449798584,who,0.45416519045829773
17,##.##,whom,0.4462638795375824,fromthe,0.4593275487422943,in,0.5452438592910767,after,0.5217593908309937,fromthe,0.47748446464538574,whom,0.4462638795375824,who,0.4616568982601166
18,##:##,whom,0.45853227376937866,subsequently,0.48178184032440186,subsequently,0.4798636734485626,subsequently,0.5580312013626099,bythe,0.4417712986469269,whom,0.45853227376937866,who,0.45836132764816284
19,##s,were,0.502987265586853,were,0.5599628686904907,were,0.5253567695617676,were,0.6161617636680603,were,0.5413166880607605,were,0.502987265586853,were,0.5288187265396118
20,##th,whom,0.5344114303588867,'d,0.49548718333244324,in,0.4613662362098694,then,0.5856540203094482,honestly,0.5753188729286194,whom,0.5344114303588867,who,0.5537866353988647
21,"#,###",whom,0.5152391195297241,had,0.5038070678710938,elsewhere,0.48821336030960083,had,0.5723116993904114,already,0.516015887260437,whom,0.5152391195297241,who,0.5358358025550842
22,"#,###,###",He,0.5411250591278076,He,0.5074625611305237,He,0.5205613374710083,then,0.5315206050872803,that,0.524219274520874,He,0.5411250591278076,who,0.5983270406723022
23,"#,###.##",should,0.4207196533679962,should,0.564317524433136,should,0.4345526099205017,could,0.46662449836730957,should,0.5453988909721375,should,0.4207196533679962,likely,0.3945409655570984
24,#-#,had,0.4917926788330078,recently,0.5163525342941284,recently,0.48917531967163086,had,0.5641484260559082,already,0.49276527762413025,had,0.4917926788330078,had,0.48332783579826355
25,#-##,####and,0.4942690134048462,January,0.5260483026504517,####and,0.5132555961608887,January,0.5760345458984375,September,0.5477360486984253,####and,0.4942690134048462,####and,0.5055086612701416
26,#.#,whose,0.5138550996780396,he,0.4811249375343323,His,0.45064693689346313,whenhe,0.47939419746398926,he,0.5249340534210205,whose,0.5138550996780396,who,0.5027458667755127
27,#.##,An,0.5834845900535583,An,0.5887060165405273,An,0.5420517921447754,An,0.5521817207336426,An,0.6039478182792664,An,0.5834845900535583,An,0.5545222163200378
28,#.###,whom,0.41968995332717896,that,0.46493834257125854,in,0.5531801581382751,last,0.5694047212600708,that,0.5333094596862793,whom,0.41968995332717896,who,0.47154247760772705
29,#:##,whom,0.47103846073150635,either,0.4689638316631317,either,0.46061643958091736,either,0.46090513467788696,any,0.5065414905548096,whom,0.47103846073150635,who,0.43965214490890503
30,$,whom,0.48529160022735596,they,0.4874055087566376,in,0.4763527512550354,they,0.4456864595413208,they,0.5499935150146484,whom,0.48529160022735596,who,0.46859991550445557
31,%,whom,0.6567821502685547,whom,0.5632466077804565,whom,0.5327576994895935,whom,0.5433177947998047,whom,0.5781388282775879,whom,0.6567821502685547,whose,0.4579538106918335
32,&,whom,0.5257704854011536,if,0.4588027000427246,elsewhere,0.4917757511138916,then,0.5472216606140137,how,0.509798526763916,whom,0.5257704854011536,who,0.5477465391159058
33,'##,whom,0.5725768804550171,although,0.6207088232040405,although,0.5866315960884094,although,0.6047884225845337,although,0.610927402973175,whom,0.5725768804550171,although,0.593777596950531
34,'d,million,0.48695868253707886,dollars,0.4975014626979828,"VND###_,###_VND###",0.4345831871032715,million,0.4287792444229126,million,0.5258076190948486,million,0.48695868253707886,million,0.4687102437019348
35,'ll,whom,0.5098510384559631,has,0.5008798837661743,in,0.4919832646846771,subsequently,0.5697987079620361,have,0.5272558331489563,whom,0.5098510384559631,who,0.49332547187805176
36,'m,whom,0.4816899597644806,month,0.5022658705711365,month,0.4852146506309509,month,0.5273372530937195,month,0.5306691527366638,whom,0.4816899597644806,who,0.4903497099876404
37,'re,whom,0.4829094111919403,are,0.5097390413284302,in,0.4774044454097748,subsequently,0.5005439519882202,are,0.543524444103241,whom,0.4829094111919403,had,0.4202033281326294
38,'ve,they,0.47984781861305237,they,0.5300537943840027,they,0.4903372526168823,then,0.5815011262893677,they,0.592502236366272,they,0.47984781861305237,who,0.4832346439361572
39,*,than,0.4988327622413635,than,0.5361575484275818,less,0.5084781646728516,less,0.5430504679679871,less,0.5875719785690308,than,0.4988327622413635,than,0.48938891291618347
40,.###,##,0.5194490551948547,"#,###",0.498016893863678,"#,###",0.5075113773345947,##,0.5287051796913147,"#,###",0.5628014802932739,##,0.5194490551948547,"#,###",0.500286340713501
41,....,whom,0.4039115905761719,down,0.43642330169677734,in,0.4727545380592346,down,0.4712042808532715,down,0.45078909397125244,whom,0.4039115905761719,who,0.4031088948249817
42,1,previously,0.4996333718299866,already,0.518509030342102,already,0.5139493346214294,had,0.5648512840270996,already,0.5694643259048462,previously,0.4996333718299866,previously,0.49364328384399414
43,2,whom,0.45424890518188477,You,0.48818421363830566,You,0.46624597907066345,then,0.5713246464729309,You,0.5661717653274536,whom,0.45424890518188477,who,0.4776119589805603
44,3,whose,0.4483020603656769,itself,0.3948996663093567,in,0.4694293439388275,which,0.4333752393722534,itself,0.44476789236068726,whose,0.4483020603656769,their,0.3868391215801239
45,4,whom,0.5753213167190552,only,0.47254347801208496,in,0.5436787605285645,first,0.5167046785354614,that,0.5230055451393127,whom,0.5753213167190552,who,0.568956732749939
46,5,whom,0.46895116567611694,abut,0.46773651242256165,abut,0.46569550037384033,after,0.46330392360687256,how,0.5047640800476074,whom,0.46895116567611694,who,0.4435228705406189
47,6,could,0.5140677690505981,could,0.6061292886734009,could,0.5661509037017822,could,0.5922195315361023,could,0.6407899856567383,could,0.5140677690505981,could,0.47697651386260986
